CCC12CCCN3C1C4=C(C(=O)C3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O	CCC12CCCN3CC(C(C)=O)c4c(C31)n(c1ccccc41)C(O)(C2)C(=O)OC
CCCOC1=C(C=C(C=C1)C2=C(C(=O)N(C2C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C4=CC5=CC=CC=C5C=C4)O)OC	CCCOc1ccc(cc1OC)C1=C(O)ON(c2ccc3ccccc3c2)C1c1ccc(Cl)c(c1)[N+](=O)[O-]
CC(C)CCNC(=O)C1CCN(CC1)C(=O)C(=O)NC2=CC=CC(=C2)COC(C)C	C.C.CC(C)CCNC(=O)C1CCN(CC1)C(=O)C(=O)Nc1ccccc1.CC=O
CCC(C1=CC=CC=C1OCC)NC(=O)N2CC3C4CCC(C3C2)O4	C.C=O.cccccC(CC)NC(=O)N1CC2C3CCC(O3)C2C1
COC(=O)C1=CC=CC=C1NC(=O)C2CC(=O)N(C2)CC3=CC=CC=C3	C.O=Cc1ccccc1NC(=O)C1CC(=O)N(Cc2ccccc2)C1
CC1=C(C(=NN1)C)CNC(=O)CCC(=O)OC	COC(C)=O.Cc1n[nH]c(C)c1CNC(=O)O
C1=CC2=C(C=C1C3=CC(=NO3)N)NC(=O)O2	CO(C)c1cc(on1)-c1ccc2oc(=O)[nH]c2c1
CC(C)(C)NCC(COCC1=CC=CS1)O.C(=O)(C(=O)O)O	CC(C)(C)NCC(O)COCc1cccs1.CO(C)C(=O)O
C1CCCC(CC1)(C2=CC=CC=C2)C(=O)OC3C[N+]4(CCC3CC4)CC(=O)NC5=C(C=CC=N5)F	C=O.C[N+]1(CCCCC1)CC(=O)Nc1ncccc1F.O.c1ccc(cc1)C1CCCCCC1
CC1=CC=CC2=C1C(=C(C=C2)S(=O)(=O)[O-])C.[Na+]	Cc1cccc2ccc(c(C)c12)O(=O)(=O)[O-].[Na+]
CC1C2=NC(=CN2CCN1CC3=CSC=C3)C(=O)NC(C)C	CC(C)NC(=O)c1cn2CCN(Cc3ccc(=O)c3)C(C)c2n1
CCC(C)CNC(=O)N1CCCC(C1C(=O)O)C	CCCCCNC(=O)NCC(C)CC.O=CO
CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC=CC(=O)OC)C)C	C=O.CCC1(C)C(C)CCC2C1CCC1(C)C(CCC21)C(C)CCCC(C)C.COC(C)=O
C1C=CCN1C(=CC2=C(C=CC(=C2)O)O)C(=O)O	CC(=O)(O)C(=Cc1cc(O)ccc1O)N1CC=CC1
COC1=CC=CC=C1C(=O)C2=CC3=C(CCNC3=O)C=C2	C=O.cccccC(=O)c1ccc2CCNC(=O)c2c1
CCC1COC(CN1CC2=CC(=CC=C2)CN)C	C.CCCN(C)Cc1cccc(c1)CN.N
CC=CC=C(C)C1=CC(=CC(=C1)C(=CC)C=CC)C2=CC=C(C=C2)C3C4=C(C5=CC=CC=C35)C6=C(C=C4)SC7=CC=CC=C76	CC=CC=C(C)c1cc(cc(c1)-c1ccc(cc1)C1c2ccccc2-c2c1ccc1[*]c3ccccc3c21)C(C=CC)=CC
CCC1C(C=C(C=CC(=O)C(CC(C(C(C(=CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CC=O)C)C)COC3C(C(C(C(O3)C)OC(=O)C)OC)OC	C=C(O)C(C)C(OC1OC(C)C(O)C(C1O)N(C)C)C(CC=O)CC(C)C(=O)C=CC(C)=CCCOC1OC(C)C(OC(C)=O)C(OC)C1OC.CC.CC=O.O
CCOC1CCN(CC1)C2=CC(=CC(=C2)CNC)F	CCOC1CCN(CC1)c1cc(F)cc(c1)CO(C)(C)C
CC1C(=O)N(C(=O)N1C2=CC=C(C=C2)F)CC(=O)NCCC(C3=CC=CC=C3)C4=CC=CC=C4	CC1N(C(=O)N(CC(=O)NCCC(c2ccccc2)c2ccccc2)C1(C)=O)c1ccc(F)cc1
CC1CCC2=C(C1)SC3=C2C(=C(C(=O)N3)C(=O)NC4=CC(=CC=C4)SC)O	CC1CCc2c(C1)sc([nH]c=O)c2cO.CSc1cccc(O)c1
C1CC(CC(C1)NC(=O)C2=CC=C(O2)CS(=O)(=O)C3=CC=CC=C3)C(F)(F)F	O=C(NC1CCCC(C1)C(F)(F)F)c1ccc(CC(=O)(=O)(=O)c2ccccc2)o1
CC(C)(C(C[N+](=O)[O-])C1=CC=CC=C1Cl)[N+](=O)[O-]	CC(C)(Cc1ccccc1Cl)[N+](=O)[O-].NC=O(=O)[O-]
CC1=C(C(=NN1)C)NC(=O)C(C)(C)C(=NO)N	C.C.Cc1n[nH]c(C)c1C=O.NC=NO
CCCCC(C(C(=O)NC1=NN=CC1)O)NC(=O)OCC2(CCC2)CC3=CC=C(C=C3)F	CCCCCNC(=O)OCC1(CCC1)Cc1ccc(F)cc1.O.O=CC1CC=NN=1
C1CC(OC1)CNC(=O)NCC(=O)NCC2=CC=CO2	CO(C)Cc1ccco1.NC(=O)NCC1CCCO1
CC1=C(C=CC=C1[N+](=O)[O-])NC(=O)CNC2=CC=C(C=C2)F	Cc1c(cccc1[N+](=O)[O-])NC(=O)CC(C)(=O)c1ccc(F)cc1
C1CC2C(CCN2CC3=CSC=C3)OC1COCC4CCOCC4	CCCN(CC)Cc1ccsc1.COCC1CCOCC1.S
CC1=C(C=CC(=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NNC(=O)C3=CC=CO3)F	O=CNC(=O)c1ccco1.cccccNS(=O)(=O)c1ccc(F)c(C)c1
CC(C)(C)NC(=O)CNC(=O)NC1=C(N=CC=C1)OC	CC(C)(C)C=O.COc1ncccc1NC(N)=O
CC1=CC=C(C=C1)CNCCN2CCN(CC2)C(=O)CCCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F	CCCC(c1ccc(F)cc1)c1ccc(F)cc1.Cc1ccc(cc1)CNCCN1CCC(C)(=O)CC1
CN(C1CCS(=O)(=O)C1)C2=CN=CC(=C2)C(=O)NCC3=CC=CC=C3	CN(c1cncc([*]NCc2ccccc2)c1)C1CCS(=O)(=O)C1
CC1=CC(=C(C(=C1S(=O)(=O)N2CCN(CC2)CCOCC(=O)NCC3CCC(CC3)C(C4=CC(=CC=C4)F)N(C)C)C)C)OC	CN(C)C(c1cccc(F)c1)C1CCC(CC1)CO=CN.COc1cc(C)c(c(C)c1C)S(=O)(=O)N1CCN(CCO)CC1
CC1(CO1)C(=O)C(CC2=CC=C(C=C2)CNC(=O)OC(C)(C)C)OC(=O)N	C.CC(=O)CC(Cc1ccc(cc1)CNC(=O)OC(C)(C)C)OC(N)=O.CO
CC1=C(C=C(C=C1)C(=O)NC(CC(=O)OC)C2=CC=C(C=C2)Cl)S(=O)(=O)N3CCOCC3	COC(=O)CCc1ccc(Cl)cc1.Cc1ccccc1S(=O)(=O)N1CCOCC1.O=CO
CC1=CC=CC=C1N2C(=O)C(=CNC3=CC=C(C=C3)C(=O)[O-])C(=N2)C	CC1=NN(C(=O)C1=CNc1ccc(cc1)O=CN)c1ccccc1C
C=CCOC(=O)C1C(C(OC1=O)OCC2=CC=CC=C2)N	C=CC.CC(=O)C1C(=O)OC(OCc2ccccc2)C1N
CC(C(=O)NCC1=CC=CO1)SC2=NN=NN2C3CCCC3	C.NC=OCc1ccco1.Sc1nnnn1C1CCCC1
CCC1=NC2=C(C=C(C=C2)C(=O)NCC(C3=CSC=C3)[NH+](C)C)N=C1CC	CC(c1ccsc1)[NH+](C)C.CCc1nc2ccccc2nc1CC.S
CC1(CCCC(C1O)CN(C)C2=CC(=CC=C2)OC)C	O.cccc(c)N(C)CC1CCCC(C)(C)C1O
CC1=CC(=O)C(=C(N1CCN(C)C)CCC2=CC=CC=C2)C(=O)N3CC4CCC3C4	Cc(cc=O)n(cCCc1ccccc1)CCN(C)C.O=C1CC2CCC1C2
C1CS(=O)(=O)CC1C(=O)NCCC2=CC=C(C=C2)O	CCS(C)(=O)=O.NC=ONCCc1ccc(O)cc1
CC1=CC(=CC(=C1C)S(=O)(=O)NC2=C(N=C(C=C2)Br)C)N	Cc1cc(N)cc(c1C)N(=O)(=O)Nc1ccc(Br)nc1C
CC1=CN(C(=O)NC1=O)CC(=C(CO)CO)F	C=NCC(CO)=C(F)Cn1cc(C)c(=O)[nH]c1=O
CC(CCCC=CC1=NC=C(C=N1)C2=CC(=C(C=C2)OCC=C)F)O	C=CCOc1ccc(cc1F)-c1cnc(C=CCCCC(C)O(C)C)nc1
CC1=C(N(C(=O)C2=C1SC=C2)CC3=CC=C(C=C3)C(=O)O)C#CCC4=CC(=CC=C4)Br	Cc1c(C#CCc2cccc(Br)c2)n(Cc2ccc(C=O)cc2)c(=O)c2ccsc12
