CID	CanonicalSMILES	IUPACName	result	binding
99649371	CN1C=C(N(C1N=NC2=C(C=C(C=C2)NC3=CC=C(C=C3)N)C4=CN(C(N4C)N=NC5=CC=C(C=C5)NC6=CC=C(C=C6)N)C)C)CN(C)C7=NC=NC=N7	4-N-[4-[[(2S)-4-[5-(4-aminoanilino)-2-[[(2R)-1,3-dimethyl-4-[[methyl(1,3,5-triazin-2-yl)amino]methyl]-2H-imidazol-2-yl]diazenyl]phenyl]-1,3-dimethyl-2H-imidazol-2-yl]diazenyl]phenyl]benzene-1,4-diamine	0	0
38444182	COC(=O)COC1=CC=CC(=C1)NC(=O)CNC(=O)C2=COC=C2	methyl 2-[3-[[2-(furan-3-carbonylamino)acetyl]amino]phenoxy]acetate	0	0
17599020	COC(=O)C1=CC=CC=C1N2C(=O)CC(C2=O)N3CCC4=C(C3)C5=C(N4)C(=CC=C5)Br	methyl 2-[3-(6-bromo-1,3,4,5-tetrahydropyrido[4,3-b]indol-2-yl)-2,5-dioxopyrrolidin-1-yl]benzoate	0	0
13041986	CCC12CCCN3C1C4=C(C(=O)C3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O	methyl 15-ethyl-17-hydroxy-9-oxo-1,11-diazapentacyclo[9.6.2.02,7.08,18.015,19]nonadeca-2,4,6,8(18)-tetraene-17-carboxylate	0	0
122816185	CCCOC1=C(C=C(C=C1)C2=C(C(=O)N(C2C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C4=CC5=CC=CC=C5C=C4)O)OC	2-(4-chloro-3-nitrophenyl)-4-hydroxy-3-(3-methoxy-4-propoxyphenyl)-1-naphthalen-2-yl-2H-pyrrol-5-one	0	0
48463283	CC(C)CCNC(=O)C1CCN(CC1)C(=O)C(=O)NC2=CC=CC(=C2)COC(C)C	N-(3-methylbutyl)-1-[2-oxo-2-[3-(propan-2-yloxymethyl)anilino]acetyl]piperidine-4-carboxamide	0	0
99847674	CCC(C1=CC=CC=C1OCC)NC(=O)N2CC3C4CCC(C3C2)O4	(3aR,4S,7R,7aS)-N-[(1S)-1-(2-ethoxyphenyl)propyl]-1,3,3a,4,5,6,7,7a-octahydro-4,7-epoxyisoindole-2-carboxamide	0	0
16345503	COC(=O)C1=CC=CC=C1NC(=O)C2CC(=O)N(C2)CC3=CC=CC=C3	methyl 2-[(1-benzyl-5-oxopyrrolidine-3-carbonyl)amino]benzoate	0	0
110731030	CC1=C(C(=NN1)C)CNC(=O)CCC(=O)OC	methyl 4-[(3,5-dimethyl-1H-pyrazol-4-yl)methylamino]-4-oxobutanoate	0	0
83705118	C1=CC2=C(C=C1C3=CC(=NO3)N)NC(=O)O2	5-(3-amino-1,2-oxazol-5-yl)-3H-1,3-benzoxazol-2-one	0	0
16245154	CC(C)(C)NCC(COCC1=CC=CS1)O.C(=O)(C(=O)O)O	1-(tert-butylamino)-3-(thiophen-2-ylmethoxy)propan-2-ol;oxalic acid	0	0
